"No_ordre" "No_Bague_droite" "Lignée" "Régime" "Lot" "PoidsVif_S9_g" "GrasAbdo_g" "Gras_arrière2cuisse_g" "Foie_g" "Cœur_g" "PectMajor_g" "plasma_AcUrique" "plasma_B.OH" "plasma_Urée" "plasma_Chol_total" "plasma_PPL" "plasma_TG" "plasma_T3" "plasma_T4" "plasma_Insuline" "foie_C14" "foie_C16" "foie_C16.1" "foie_C18" "foie_C18.1" "foie_C18.2" "foie_C18.3" "foie_C20" "foie_C20.1" "foie_C20.4" "foie_C20.5" "foie_C22.5" "foie_C22.6" "foie_AGS" "foie_AGMI" "foie_AGPI" "foie_n.6" "foie_n.3" "foie_n6ONn3" "foie_LCn3" "foie_PERC.lipid" "foie_glycogen" "foie_Lactate" "foie_PG"
"35" 36 3933 "G" "HL" "G-HL" 2540 131 13.87 51.6 15.4 102.08 93.67 499.89 28.79 1364.49 2.5 1148.15 1.597 11.792 83 0.41 17.95 0.6 22.75 16 23.25 1.06 0.31 0.26 12.35 0.67 0.93 3.47 41.42 16.86 41.73 35.6 6.13 5.81 5.07 2.63 410.92 5.42 827.27
"36" 37 4063 "G" "HL" "G-HL" 2606 81.6 13.75 46.5 13.7 111.25 68.43 531.46 31.68 1391.65 2.27 656.2 1.875 9.866 64 0.29 18.53 0.87 19.74 20.26 25.51 1.48 0.15 0.31 9.06 0.53 0.81 2.47 38.71 21.44 39.86 34.57 5.29 6.53 3.81 4.15 299.97 5.76 605.71
"37" 38 3493 "M" "HL" "M-HL" 2325 72 16.07 44.1 14.1 90.48 39.86 433.98 38.12 1174.26 2.06 611.4 2.697 4.463 73 0.42 19.15 0.86 22.39 18.22 23.39 1.42 0.34 0.3 9.67 0.68 0.79 2.37 42.3 19.38 38.32 33.06 5.26 6.29 3.84 4.9 358.01 8.31 724.33
"38" 39 3952 "G" "BL" "G-BL" 2448 98.7 12.61 49.5 15 103.81 88.63 578.96 42.62 1446.32 2.13 570.85 1.977 10.814 110 0.63 24.01 3.4 16.94 28.86 15.81 0.75 0.31 0.34 6.42 0.46 0.35 1.73 41.89 32.6 25.52 22.23 3.29 6.76 2.54 6.95 495.98 5.7 997.65
"39" 40 3548 "M" "BL" "M-BL" 1704 8.5 1.52 40.5 13.1 72.77 52.6 687.4 35.51 1699.5 3 750.26 2.713 10.13 76 0.52 24.45 2.35 21.87 23.66 15.61 0.61 0.19 0.26 8.07 0.47 0.4 1.55 47.03 26.27 26.71 23.68 3.03 7.82 2.42 3.33 443.08 4.95 891.11
"40" 41 3617 "M" "BL" "M-BL" 2369 26.2 6.61 49.7 15.2 105.5 86.19 404.93 26.42 1549.25 2.43 587.01 2.827 10.169 66 0.42 22.6 1.16 25.9 19.29 16.56 0.27 0.09 0.33 10 0.62 0.31 2.45 49.01 20.78 30.21 26.56 3.65 7.28 3.38 4.05 362.52 6.25 731.29
"41" 42 3812 "G" "BL" "G-BL" 2373 102.3 13.58 48.7 15.5 97.04 68.06 690.32 28.88 1631.48 2.65 875.29 2.612 9.956 53 0.32 21.59 1.49 24.93 23.75 14.9 0.39 0.11 0.31 9.15 0.61 0.37 2.09 46.95 25.55 27.51 24.05 3.46 6.95 3.07 4.45 432.08 7.66 871.82
"42" 43 3654 "M" "HL" "M-HL" 2119 34.8 8.94 40 12.6 80.43 47 460.07 33.39 1392.35 2.18 747.66 1.723 9.974 69 0.31 19.14 1.56 17.62 26.26 22.79 1.64 0.16 0.33 7.23 0.44 0.45 2.07 37.23 28.15 34.62 30.02 4.6 6.53 2.96 5.19 378.03 5.12 761.19
"43" 44 4055 "G" "HL" "G-HL" 2468 66.5 7.09 49.8 16.1 97.45 79.37 434.16 24.12 1372.45 2.1 537.24 3.136 10.592 86 0.22 16.89 1.12 15.43 23.62 27.33 2.08 0.15 0.39 8.89 0.46 0.62 2.8 32.69 25.13 42.18 36.22 5.96 6.08 3.88 6.64 381.35 6.89 769.58
"44" 45 3652 "M" "BL" "M-BL" 2428 37.8 9.64 54.1 13.6 101.8 92.28 571.85 38.64 1710.68 2.33 1016.35 1.867 12.777 92 0.41 20.55 1.16 24.08 21.8 18.89 0.97 0.37 0.38 8.24 0.53 0.45 2.18 45.41 23.34 31.26 27.13 4.13 6.57 3.16 4.18 444.79 4.63 894.22
"45" 46 3775 "G" "BL" "G-BL" 1933 65.6 5.66 42.1 12.3 76.1 108.68 473.11 48.96 1740.26 2.76 1022.51 3.227 13.46 81 0.39 22.93 1.95 22.14 24.19 15.47 0.46 0.14 0.32 8.94 0.51 0.53 2.03 45.6 26.46 27.94 24.41 3.53 6.92 3.07 5.62 362.66 7.28 732.6
"46" 47 3514 "M" "HL" "M-HL" 2023 12 1.38 41.9 11.1 98.93 60.22 389.54 34.46 1700.29 2.11 341.85 2.018 10.738 108 0.3 18.15 1.04 22.65 20 21.31 0.88 0.23 0.36 10.7 0.6 0.87 2.92 41.33 21.4 37.28 32.01 5.27 6.07 4.39 5.15 215.53 7.21 438.27
"47" 48 4026 "G" "HL" "G-HL" 2327 61.5 7.74 40.9 11.9 102.76 73.58 441.36 31.24 1390.86 2.04 635.36 3.201 10.874 132 0.28 18.91 0.72 21.96 17.45 22.41 0.86 0.12 0.33 11.63 0.6 0.95 3.78 41.27 18.5 40.23 34.04 6.19 5.5 5.33 4 322.6 5.93 651.13
"48" 49 3815 "G" "HL" "G-HL" 2247 98 10.36 35.1 15.9 98.02 65.92 360.1 38.65 1272.22 1.78 325.59 2.626 13.292 113 0.28 19.59 0.55 22.75 16.43 21.76 0.97 0.19 0.29 11.64 0.56 0.92 4.08 42.81 17.27 39.93 33.4 6.53 5.11 5.56 5.18 271.86 7.76 551.47
