"Genre" "TypeFormation" "AnnéeFormation" "Statut" "Ecole" "Campus" "Implantation" "Accueil" "Qualité formation" "Hébergement" "Centre doc." "Eq. sportifs" "Vie campus" "Cadre de vie" "Sécurité" "Cond. vie générale"
"74" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"75" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Peu satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"76" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Très satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"78" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Insatisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"79" "Homme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Satisfait"
"82" "Non renseigné" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Angers" "Peu satisfait" "Peu satisfait" "Peu satisfait" "Insatisfait" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"83" "Homme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Satisfait"
"84" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Très satisfait" "Très satisfait"
"85" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Très satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Peu satisfait" "Très satisfait"
"86" "Homme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Insatisfait" "Peu satisfait" "Satisfait" "Insatisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
