"Area" "Mean" "StdDev" "Mode" "Min" "Max" "Perim." "WIDTH" "HEIGHT" "Major" "Minor" "Angle" "Circ." "Feret" "IntDen" "Median" "Skew" "Kurt" "RawIntDen" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Sigma" "Theta" "Width" "A" "Bgrd" "Intens" "E" "Image"
"91" 20 6990.4 1410.65 5600 5392 9632 25.21 8 5 6.73 3.78 7.85 0.4 8.25 139808 6704 0.48 -1.07 139808 14.04 4.9 1.78 0.56 0.62 846.95 0.44 2832.51 1.05 3222.3 26385.53 "Blanc" "Img2"
"93" 5 6067.2 167.58 5824 5824 6272 11.31 3 4 3.99 1.6 61 0.49 5 30336 6096 -0.33 -0.89 30336 53.13 2.53 2.5 0.4 0.59 201.97 0.24 4408.81 1.27 3314.28 275757.53 "Blanc" "Img2"
"95" 6 7304 1097.5 6064 6064 8544 7.66 2 3 3.39 2.26 90 1 3.61 43824 8096 -0.07 -1.78 43824 123.69 2 1.5 0.67 1 1391.53 0.16 6746.01 1.14 3579.27 101181.1 "Blanc" "Img2"
"101" 53 14477.58 15371.66 5568 5344 65504 30.87 9 10 8.44 7.99 72.39 0.7 10.2 767312 8304 2.4 4.75 767312 78.69 8.94 1.06 0.95 0.81 78.88 0.88 2550.53 0.43 5091.29 363053.83 "Bacterie" "Img2"
"103" 8 7172 1980.03 5504 5504 10496 9.07 3 3 3.54 2.88 45 1 4.24 57376 6656 0.98 -0.76 57376 45 3 1.23 0.81 0.94 387.65 1 2408.3 0.52 2802.69 36250.46 "Bacterie" "Img2"
"108" 66 17127.52 17984.16 65504 5328 65504 36.53 9 12 11.13 7.55 74.86 0.62 13 1130416 8992 1.77 1.87 1130416 67.38 9 1.47 0.68 0.8 70.06 0.11 2943.23 0.59 4669.88 499320.4 "Bacterie" "Img2"
"109" 193 16058.94 17300.48 65504 5376 65504 69.5 14 22 21.02 11.69 98 0.5 22.36 3099376 8320 2.05 2.91 3099376 79.7 14 1.8 0.56 0.82 80.43 0.9 2920.36 0.61 5385.52 493775.92 "Bacterie" "Img2"
"112" 14 18081.14 10645.58 6464 6464 38128 12.49 4 4 4.48 3.98 180 1 5 253136 15696 0.67 -0.94 253136 126.87 4 1.12 0.89 0.93 95.84 0.87 2776.45 0.7 3339.32 232273.91 "Bacterie" "Img2"
"114" 165 18522.86 18965.1 65504 5312 65504 60.43 14 17 16.14 13.02 68.55 0.57 19.42 3056272 9408 1.73 1.57 3056272 55.49 14 1.24 0.81 0.82 12.33 0.02 5565.43 0.71 838.1 1846093.42 "Bacterie" "Img2"
"119" 149 17975.41 18597.92 65504 5328 65504 60.43 14 16 15.46 12.27 67.75 0.51 17.2 2678336 9264 1.79 1.83 2678336 35.54 13.82 1.26 0.79 0.81 50.12 0.06 5266.73 0.77 3378.34 1617648.89 "Bacterie" "Img2"
