"Groupe"	"Rendement"	"DensitePDIE"	"DensitePDIN"	"DensiteUFL"	"EnsilageHerbe"	"EnsilageMais"	"Foin"	"Fibro"	"Base"	"CLysine"	"Cmethionine"	"ApportLysine"	"ApportMethionine"	"MStotale"	"NoteIngestion"	"ETroupeauLB"	"ETroupeauTP"	"DeltaLB"	"StadeLactation"	"TPinitial"
"2967"	"methionine"	1	81	91	0.92	17.3	75.5	7.2	22.6	0	46.7	46.5	6.83	1.89	17.9	12	7554	31.39	1.992	215.64	33.28
"6112"	"methionine"	1	98	100	0.95	0	75.7	11.2	19.2	100	40.3	35.9	6.87	1.82	18.8	15	8436	32.49	0.828571429	194.2857143	32.24761905
"2561"	"temoin"	0	112	112	0.9	0	78.1	21.9	16.1	42.9	34.2	31.1	6.82	1.79	19.1	18	6512	30.89	2.258064516	159.2903226	33.20645161
"7491"	"temoin"	0	60	55	0.96	0	78.3	21.7	23.4	62.5	38.1	39.4	6.68	1.94	15	7	5404	31.09	-1.042857143	224.8571429	34.45
"6271"	"methionine"	0	96	99	0.9	15.2	78.8	6.1	19.5	1.1	41.6	38	6.9	1.85	20.5	18	7783	31.69	1.541176471	230	37.41176471
"6076"	"temoin"	0	77	80	0.9	0	79.2	20.8	21.9	84.8	40.2	37.3	6.9	1.82	18.4	14	7318	30.89	2.03	193.65	32.255
"7281"	"methionine"	1	109	115	0.91	0	80	20	16.2	100	41.9	35.6	6.98	1.78	17.9	15	6257	31.09	3.982608696	185.0869565	32.07826087
"1133"	"temoin"	0	86	85	0.93	0	81.3	18.8	22.6	37.7	42.6	40.8	6.87	1.88	20.7	7	8307	31.99	3.572727273	152.8181818	31.86363636
"4442"	"methionine"	0	91	94	0.94	8.1	81.3	6.3	24.5	10.2	47.2	46.8	6.63	1.86	21.2	14	7872	30.69	2.7875	174.375	31.7625
"5859"	"methionine"	1	108	106	0.93	0	82.4	17.6	18.9	0	38.5	38.3	6.74	1.88	21	17	7502	30.69	1.445454546	117.5	28.80909091
