"L" "a" "b" "Weight" "Diam" "Maturity" "Variety"
"176" 75.16 -6.52 36.34 0.0745 0.049162 "1" "C"
"177" 75.42 -5.92 34.95 0.0774 0.050963 "1" "C"
"178" 68.05 -11.01 37.99 0.0612 0.045675 "1" "C"
"179" 71.24 -8.22 35.57 0.0588 0.045137 "1" "C"
"180" 70.58 -9.62 34.66 0.0614 0.046538 "1" "C"
"181" 69.69 -11.2 35.23 0.0634 0.046163 "1" "C"
"182" 71.51 -6.99 37.94 0.0595 0.046025 "1" "C"
"183" 69.19 -8.38 45.68 0.0753 0.050388 "1" "C"
"184" 71.89 -6.9 40.04 0.0709 0.048475 "1" "C"
"185" 71.11 -7.54 34.38 0.0636 0.045725 "1" "C"
"186" 73.43 -6.29 36.64 0.0699 0.047325 "1" "C"
"187" 68.58 -9.2 35.98 0.0664 0.04775 "1" "C"
"188" 71.22 -9.05 36.03 0.0608 0.046012 "1" "C"
"189" 72.6 -7.6 39.71 0.0627 0.045475 "1" "C"
"190" 72.91 -6.68 37.86 0.0576 0.044762 "1" "C"
"191" 59.52 25.97 54.71 0.0594 0.041737 "3" "B"
"192" 60.42 25.59 49.66 0.0555 0.0418 "3" "B"
"193" 62.38 24.76 54.72 0.0559 0.043112 "3" "B"
"194" 57.84 27.2 50.86 0.0578 0.043138 "3" "B"
"195" 61.32 24.18 54.64 0.0565 0.043338 "3" "B"
"196" 59 26.71 52.48 0.0461 0.039538 "3" "B"
"197" 58.45 27.65 52.1 0.0429 0.037488 "3" "B"
"198" 61.61 26.77 53.11 0.0506 0.040725 "3" "B"
"199" 60.64 23.5 52.25 0.0566 0.0433 "3" "B"
"200" 60.49 28.09 53.48 0.0611 0.044375 "3" "B"
"201" 59.62 20.19 53.35 0.0477 0.039425 "3" "B"
"202" 56.65 25 50.14 0.0622 0.04425 "3" "B"
"203" 56.53 25.39 51.12 0.0491 0.039738 "3" "B"
"204" 60.38 25.26 51.14 0.0549 0.041563 "3" "B"
"205" 59.19 26.73 53.02 0.0608 0.044762 "3" "B"
"206" 60.58 23.41 53.62 0.0567 0.043588 "3" "B"
"207" 60.26 26.89 52.41 0.0557 0.0421 "3" "B"
"208" 60.16 25.88 53.2 0.0594 0.043225 "3" "B"
"209" 61.84 23.43 54.56 0.0577 0.043275 "3" "B"
"210" 60.21 21.26 54.07 0.0466 0.040138 "3" "B"
"211" 56.44 20.02 49.24 0.0549 0.04355 "3" "B"
"212" 58.66 23.04 54.13 0.0413 0.037713 "3" "B"
"213" 59.34 23.11 49.62 0.0469 0.04025 "3" "B"
"214" 76.86 -0.97 37.41 0.0852 0.052413 "3" "C"
"215" 79.26 -3.1 40.91 0.0715 0.049438 "3" "C"
"216" 79.03 -0.58 40.77 0.0869 0.051562 "3" "C"
"217" 79.79 -1.46 36.19 0.0608 0.043588 "3" "C"
"218" 80.91 -2.11 35.02 0.0902 0.052 "3" "C"
"219" 79.27 -2.85 42.27 0.0737 0.0493 "3" "C"
"220" 75.21 -2.32 45.15 0.0603 0.0458 "3" "C"
"221" 78.21 -3.23 35.88 0.0732 0.049275 "3" "C"
"222" 74.09 1.09 41.4 0.0831 0.051075 "3" "C"
"223" 72.11 -1.24 30.01 0.0802 0.050787 "3" "C"
"224" 77.78 -1.97 37.86 0.0754 0.048238 "3" "C"
"225" 79.28 -0.62 34.86 0.0725 0.049975 "3" "C"
"226" 80.65 -1.22 42.74 0.0648 0.047988 "3" "C"
"227" 80.58 -2.12 38.88 0.0709 0.048337 "3" "C"
"228" 80.24 -3.39 36.34 0.0557 0.044388 "3" "C"
"229" 78.8 -1.04 38.76 0.0667 0.046825 "3" "C"
"230" 73.33 0.3 37.95 0.0729 0.048825 "3" "C"
"231" 76 -0.56 37.94 0.0791 0.04975 "3" "C"
"232" 72.2 -0.65 33.78 0.0774 0.049625 "3" "C"
"233" 77.24 -1.13 32.14 0.0674 0.047575 "3" "C"
"234" 69.51 2.12 33.59 0.0726 0.047313 "3" "C"
"235" 78.16 0.01 44.59 0.0734 0.05 "3" "C"
"236" 76.89 -0.49 41.78 0.0686 0.046863 "3" "C"
"237" 76.74 -4.41 40.06 0.0756 0.049375 "3" "C"
"238" 79.29 -2.45 40.35 0.076 0.049737 "3" "C"
"239" 77.16 -0.37 35.87 0.0724 0.049463 "3" "C"
"240" 79.94 -1.01 37.28 0.0671 0.047325 "3" "C"
"241" 75.95 0.58 35.36 0.0695 0.04875 "3" "C"
"242" 76.09 3.08 40.1 0.0727 0.049725 "3" "C"
"243" 72.92 0 33.23 0.0777 0.049838 "3" "C"
"244" 71.28 -3.66 27.17 0.0814 0.05205 "3" "C"
"245" 78.11 -0.61 40.78 0.0687 0.047125 "3" "C"
"246" 77.91 -0.37 40.36 0.069 0.047 "3" "C"
"247" 79.57 -2.23 33.18 0.0649 0.04745 "3" "C"
"248" 76.96 -3.27 36.47 0.0603 0.045988 "3" "C"
"249" 77.49 -3.35 33.29 0.0697 0.0484 "3" "C"
"250" 76.65 -1.42 31.43 0.0777 0.050575 "3" "C"
"251" 81.42 -3.82 34.05 0.0695 0.046913 "3" "C"
"252" 80.33 -1.77 37.63 0.0922 0.052125 "3" "C"
"253" 50.04 33.88 31.22 0.0685 0.04255 "3" "A"
"254" 59.92 21.27 40.88 0.0634 0.043312 "3" "A"
"255" 54.8 27.17 36.69 0.0735 0.045637 "3" "A"
"256" 56.28 23.81 37.33 0.0603 0.042925 "3" "A"
"257" 45.52 34.98 23.65 0.0474 0.0391 "3" "A"
"258" 61.74 8.88 43.5 0.0592 0.041963 "3" "A"
"259" 44.69 37.49 27.77 0.0593 0.040925 "3" "A"
"260" 40.75 32.5 20.48 0.0623 0.044338 "3" "A"
"261" 57.86 15.66 38.85 0.0659 0.044362 "3" "A"
"262" 59.27 19.65 40.34 0.0628 0.04335 "3" "A"
"263" 68.91 2.23 47.88 0.063 0.043225 "3" "A"
"264" 64.12 10.89 42.8 0.0646 0.042463 "3" "A"
"265" 57.81 16.87 37.47 0.0557 0.040225 "3" "A"
"266" 69.45 7.13 46.94 0.0682 0.044013 "3" "A"
"267" 63.28 21.29 43.13 0.0665 0.044562 "3" "A"
"268" 62.16 16.23 38.11 0.0662 0.043663 "3" "A"
"269" 69.69 8.4 47.49 0.0653 0.044762 "3" "A"
"270" 44.92 35.5 25.79 0.0587 0.041625 "3" "A"
"271" 69.01 10.51 47.16 0.0657 0.043763 "3" "A"
"272" 59.51 14.45 38.13 0.061 0.0415 "3" "A"
"273" 59.15 22.45 39 0.069 0.0448 "3" "A"
"274" 54.46 21.71 37.5 0.0573 0.040087 "3" "A"
