"CGA" "Cafeine" "Fat" "Trigonelline" "DM" "Localisation" "PC1" "PC2" "PC3" "PC4" "PC5"
"V177" 8.1328297 1.1694455 13.5120583 0.7336825 90.7173233 1 -2.77295820413062 4.38263390427646 -4.58309779371312 3.3334304749749 0.748310172249401
"V178" 7.5537267 0.9929425 14.6335707 0.8290679 90.2986832 6 -6.00690644966204 -12.8897425165023 -4.02248375908487 -8.96388944343076 9.54662809168432
"V179" 7.5479884 0.9913091 13.2115021 0.7747111 90.5958176 1 -7.46772888155195 11.3674527686384 -3.94534969521416 7.0920896445846 1.77095491600945
"V180" 8.0943556 1.066465 11.5737419 0.7665932 90.0631866 2 -19.9749660280906 -18.3889142455522 6.71406453055334 1.73240848122062 -3.74884153772929
"V181" 7.7020354 1.0388172 14.1186438 0.8224658 90.3787003 6 48.8609448641342 -43.250720024416 -9.80519630776199 -5.76637577312451 9.06596834450174
"V182" 7.9785604 1.1271131 11.0247583 0.755607 89.8207169 3 27.0857871155115 -1.44818957589956 7.23745862639411 7.24628786276027 -1.29780187147876
"V183" 8.1211205 1.1196506 13.1823683 0.7141789 89.9672241 3 -3.81991351229044 -2.84082953107105 2.23662032199592 -15.0753207525893 -3.70749922168596
"V184" 8.2325182 1.2941288 13.1363897 0.7887168 91.0354309 1 -13.1841298912829 4.50835422359445 -4.26110412320401 20.0442408159307 5.1524218823081
"V185" 8.2914429 1.0336511 13.282239 0.8438729 90.0203934 6 -25.3732110546573 0.524728016737602 -0.257286564627448 -17.0700788663556 -7.07586372879784
"V186" 7.7012062 0.9871818 11.5357895 0.7875508 90.0825577 6 9.15658176142315 0.0424040651147743 0.429148035334667 -8.91274318375114 -8.74418530905196
"V187" 7.9150538 1.2648071 13.8959827 0.7961251 91.9360657 4 -8.49292852850108 -2.54382860198601 -34.6608151661703 8.19315132605541 -2.51895700610712
"V188" 7.7592859 1.1035936 12.3538074 0.7858784 90.7054749 2 30.7564163515362 -31.4610657107741 -7.69669577721579 2.79076500050417 -1.52938126194957
"V189" 8.1498337 1.0406559 13.7482061 0.731061 90.07827 6 -4.21935320413447 -19.957490381369 1.01983062693282 -10.3316525160648 3.12461126021141
"V190" 7.8027334 0.8280507 11.9559269 0.8251327 90.0624237 6 32.5656357991588 -12.6463266255509 5.09784620171442 1.29542020964027 1.46267783606355
"V191" 7.0628972 1.0128074 12.2494583 0.8541079 90.6269455 1 -31.0106381383881 9.7398205940403 1.86386742709718 9.57358547880945 -2.26328786656526
"V192" 7.7015796 1.1866969 13.8787918 0.7810452 91.0372009 1 -4.5368718506587 2.73430134250971 -7.03369939265804 4.24754675593878 2.67292091115021
"V193" 7.7982302 1.0111021 13.7335482 0.8190218 90.3749771 6 -7.93736942572399 1.44245650732557 -3.75698116475048 -2.12841678602439 3.31259673195317
"V194" 7.9291887 1.134608 12.4603462 0.7335573 90.4009018 2 -14.5732670902663 -15.6756571975346 -2.75216249862517 0.131985142215006 -4.0266861840425
"V195" 7.8027668 0.9734882 12.3926744 0.7124796 90.2085495 3 22.8351712476314 17.0728372706553 -0.587941109588417 -2.89113192024768 -3.9775976319327
"V196" 7.7506399 1.0170476 13.0168867 0.8189651 90.362793 2 -13.5340549804636 -1.55357450771798 -3.16750181513638 -9.2445574455425 -6.23559621613302
"V197" 7.7055702 1.4555756 10.9973516 0.6273627 90.4637833 5 -5.9216178646917 3.17776720301151 -11.2357837433676 -1.8440459093196 -13.9950498161428
"V198" 7.9177475 1.0511622 9.2643652 0.706917 90.192337 5 24.2300594868426 15.2375038698421 -1.05314829097339 4.73233462586795 -16.1019337089638
"V199" 7.1719737 1.0117497 12.1160622 0.7507496 90.7047195 1 -15.2410594767886 5.50426719238696 4.49122470959942 14.0206607056249 2.4357267817502
"V200" 7.8076611 1.1792309 12.057457 0.7475743 90.1041107 6 -23.4857740992087 -30.2277296523094 6.24545632378233 1.23584781553273 -6.93187758403215
"V201" 7.1329608 1.0003372 11.3708687 0.8815461 90.4957275 1 -25.348524861342 40.8805140654293 12.0188977377133 22.0390327948539 -0.971301757292522
"V202" 7.1727595 0.9564282 11.8430042 0.8463451 90.6584091 1 -24.5118488024484 19.9584617458393 8.05025330634411 21.735396569329 -1.31340541694267
"V203" 7.8639088 1.0663099 14.8200483 0.8476843 90.4617844 6 -11.2939895399573 12.0999234315523 -8.19168709597368 -1.6168669815113 9.26915640263619
"V204" 7.7873788 1.0185729 13.2930021 0.6944613 90.6385727 1 -22.6603866591589 0.394752118575896 0.413403743338651 5.97292838667843 0.668619030423095
"V205" 8.0848064 1.0881718 14.2875366 0.8737218 90.2270203 1 25.8835282418931 7.02175121023073 2.05990504209112 7.13336785734345 12.7647802728735
"V206" 8.2468262 1.0784178 11.498311 0.7511578 89.485466 6 22.1726929052887 18.5388314417918 8.54281551636771 -5.04770257552523 -4.75237652923435
"V207" 8.0412865 1.0009489 14.8832684 0.9219664 90.2967758 6 -3.91797854406965 1.53567780405541 -7.78229389918028 -11.2557510935497 6.38877962535904
"V208" 7.6431756 1.2199701 13.3508997 0.7138318 90.3047791 3 29.8060149057874 -48.1587679144298 -3.64412002184152 -1.06066470783418 7.25942328902425
"V209" 7.7628922 1.0885855 14.0622768 0.8496351 90.7091141 1 15.154361722999 14.2259556716008 -13.8462380818941 -3.82069894318037 4.52939452077231
"V210" 7.6542296 1.0030948 13.470705 0.8430481 90.3605804 6 9.53993586546027 -31.3820615631261 -1.40081253663164 2.56587343439934 6.00865893119478
"V211" 7.7040849 1.3218298 10.6662502 0.7651376 89.9568024 5 2.85133937163512 1.13831404112973 2.21427319671069 6.44890063136821 -11.5435569289576
"V212" 7.9237008 0.9867911 13.8390141 0.8847918 90.2726669 6 2.00791039227012 -0.992428746448437 -0.681917697036178 -4.23963275607326 3.38090365759745
"V213" 8.1729374 1.0955548 11.7227478 0.7729342 89.3121948 3 12.6360654485034 19.7317908268255 12.8671487861609 -10.842616414203 -5.6384905530967
"V214" 7.8105717 1.0592369 15.0532789 0.8082377 91.1751862 1 -23.9461906094941 -14.0029314248789 -8.71751466504226 10.7117105463721 10.3761823850497
"V215" 7.9885273 1.1757019 12.9790668 0.8481562 91.825882 4 2.25964125240225 -6.29690807596085 -31.2476020361045 8.16630601020356 -7.79049885138305
"V216" 7.9786477 0.8763678 11.4518795 0.7759115 89.7455292 6 -115.741402692665 33.3404339809429 17.1895951869644 -14.953496841718 -19.3266851088142
"V217" 7.8457937 0.9933745 14.7130594 0.8347976 90.3046494 6 -6.87640260707029 -8.78055266816302 -2.06362190582377 -3.33795880640943 9.5822688267801
"V218" 7.8691783 1.1008736 11.8465462 0.8066256 90.298172 2 -13.9109915218515 -1.51386035363621 0.550532474116584 0.882493086098465 -10.9626941838098
"V219" 8.1777077 0.8986157 12.382884 0.7158143 90.1372299 6 23.3284451867853 -23.5533860230092 1.39177911195328 -7.34167794658105 -0.840040794200887
"V220" 7.609509 0.9902104 12.5112038 0.7569867 90.0294647 6 1.49091910942214 24.9245725571621 7.41257765135336 -0.078909411309727 -0.902506535393303
"V221" 7.3805842 1.1560621 12.7809715 0.7599595 90.1027679 1 5.99658956696592 6.23106358847934 6.05521944293468 7.28802193353974 4.14585565282311
"V222" 7.9119191 1.3007572 10.0270329 0.6936606 90.2528687 5 24.1018025130988 13.4895682961066 -8.87317007470866 -4.11539328066575 -19.2706355726057
"V223" 8.2899904 1.0577141 12.9630842 0.8507345 90.0090561 6 -38.2589750593991 -6.40204453944471 7.39518771257265 -4.27896906833787 -1.18449667175322
"V224" 7.3920984 1.1570834 13.2766733 0.7887305 90.3555527 1 0.433351490396119 21.1461326628099 4.83663534711533 11.0905249550468 8.05726791996136
"V225" 7.5130105 1.1731794 12.7737322 0.7575376 91.4214401 4 -37.3006596529903 0.184972062543735 -21.2761560062975 9.42086194391002 -7.91830430998448
"V226" 7.868813 1.1222558 9.2730389 0.8894444 90.1442871 5 3.40904038367307 -4.45486844293825 -3.74912259413674 -0.787789423462778 -20.8438140120425
"V227" 8.0100145 1.1005477 11.3567677 0.8398567 90.4105606 2 -4.73245371534324 6.56205682671535 1.53536515014732 3.45090455027717 -10.2058858186528
"V228" 8.5073385 0.9319617 13.2858753 0.8319039 90.1214371 6 -12.9751268721767 20.1164744690748 2.68961186902314 -7.16546734879652 -0.0461313622085385
"V229" 8.5573397 0.9937879 11.9398928 0.760927 89.9804764 6 10.7323338031489 34.9537197191808 5.39858655450978 -8.0415394689946 -3.64630989402245
"V230" 8.0877867 1.0438728 14.6011629 0.849407 90.3223953 6 -7.05961504626255 20.1019974384527 -11.3352099987354 -14.3552329457831 2.94096388940868
"V231" 7.6734962 1.2369623 14.7481251 0.8167868 90.3219223 1 -16.6428968301409 29.0787204307717 1.13323289531808 6.96072887605826 11.4678557344898
"V232" 8.2646093 1.0443438 12.3661661 0.8100305 89.8038712 3 -17.2016853920545 -9.05443787660275 13.8758328550695 -0.960690697588942 -0.181977841091765
"V233" 8.2021608 1.3080225 12.56672 0.7539964 89.2731552 3 -19.9277993009758 -23.0563235766584 18.7703660877724 -6.52731690233453 -1.94490346237587
"V234" 7.910481 1.0792074 9.5527048 0.7403425 89.899826 5 5.3295462931958 21.5753930366385 1.87371963037992 -1.57953743014874 -19.2999968442087
"V235" 7.8392758 1.2283525 14.1825352 0.7970263 90.1487579 1 2.8699708789382 -13.6062712636948 2.97871761101096 7.95692527847676 10.0631299519166
"V236" 8.095808 1.0384493 13.555603 0.909305 89.8077469 6 7.22802997408546 14.1455511034625 0.611296727016523 -12.0590224796681 0.947777628132186
"V237" 7.9248257 0.7249157 10.7298403 0.6932529 90.1250534 6 9.6197310170389 10.4105631631718 0.960594994979427 -5.53049174921627 -6.34126218905999
"V238" 8.0094748 1.0446298 13.4960699 0.7485557 90.3728027 6 13.2507455067308 -2.46683596064031 -2.3028065335638 -2.51569874936424 2.96982873072735
"V239" 7.4648232 1.120955 11.080307 0.8068632 90.3464432 6 -0.277639915754474 -3.4142601770156 -6.94775750386376 -8.12155960263724 -13.3880194812837
"V240" 7.6047907 1.1061556 8.4668884 0.8812008 90.5702972 5 21.0743347440573 -17.3682790006334 -9.87356039541028 10.0530200775228 -19.1377800951798
"V241" 7.293992 1.3371302 9.5838785 0.6817108 91.2380219 5 35.6967224778858 7.89068372814449 -16.5564911470416 24.4996966277981 -9.78080458110636
