"CGA" "Cafeine" "Fat" "Trigonelline" "DM" "Localisation" "PC1" "PC2" "PC3" "PC4" "PC5"
"V36" 8.0066528 1.1333923 13.2661562 0.7438147 90.0112915 6 -13.2257958625453 -36.8212248391449 0.192490034612579 -11.4842639068585 -0.974858279793694
"V37" 7.6344113 1.2429953 9.6454363 0.7282701 90.0895996 5 2.39754523903554 2.73300769975392 6.41459939750556 13.5693000986218 -13.1317310481278
"V38" 7.8423719 1.3160901 15.4591618 0.8816177 90.3085022 7 -9.33603519800855 -23.0317648420573 -12.8389792797198 -8.64475075109905 7.95614879631002
"V39" 7.9125719 1.3753746 9.8073893 0.7228755 90.0691528 5 9.5784352785872 6.76665208382273 0.515263180525051 3.90650506073521 -18.5166126152974
"V40" 7.4418287 0.8581218 11.5362482 0.7692938 89.8282318 6 35.207009383193 18.6370994708754 8.13013424541597 5.01645181088508 2.56418266788938
"V41" 7.5931716 1.1648613 14.5936031 0.7901525 90.8429031 1 -19.0859637763399 9.07692327416242 -19.3792598290153 -6.88964305327148 2.51550406836011
"V42" 7.6827278 1.2822714 9.4174986 0.6700026 89.7337265 5 24.1278335531392 14.8241728708364 3.88728728933698 -1.99241404192627 -17.0280540156742
"V43" 7.955225 1.0939223 13.1653957 0.8072924 89.6356277 6 -5.98561250761047 -2.61173272658386 5.92427893751845 -13.0219430936422 -0.894484833780564
"V44" 7.6025944 1.1600965 15.0583048 0.8465124 90.9020004 7 0.160804003579647 29.4752264132744 -19.6581976168939 -4.53426799061433 8.68370043661628
"V45" 8.4155607 1.1149511 12.7040167 0.7270533 90.1252518 6 -3.57166802748929 32.726362581678 -0.260682108044089 -6.82137577081985 -6.46680532535097
"V46" 7.5546851 1.1167431 12.473299 0.8218014 90.5801315 2 12.9575270706165 -7.42704571903849 -8.84249277549549 -0.9624070677187 -4.61935290860949
"V47" 7.7512598 1.0953873 11.1246691 0.8650985 89.5801544 2 -24.9469976522216 -21.6484774563456 20.9426493210769 7.80547838571934 -6.31241770109784
"V48" 8.0169258 1.2729664 12.1676655 0.7913336 89.8389053 3 -7.04290297315051 -9.60282121508349 12.7249394359639 4.16328277387116 0.213649219752562
"V49" 7.7994847 1.0980939 15.8433323 0.8336518 91.4495773 7 -8.51082110310324 -3.05293214789012 -26.2138363076285 -1.89481683059583 9.90871489576465
"V50" 7.8171973 0.9037719 11.2356215 0.8208759 89.8976593 6 6.69566747962051 5.67301753390227 5.99082118948342 -7.36656059838076 -7.11733845276091
