"F_01" "F_02" "F_03" "F_04" "F_05" "F_06" "F_07" "F_08" "F_09" "F_10" "F_11" "F_13" "F_14" "F_15" "F_16" "F_17" "F_18" "F_19" "F_20" "F_21" "F_22" "F_23" "F_24" "F_25" "F_26" "F_27" "F_28" "F_29" "F_30" "F_32" "F_33" "F_35" "F_36" "F_37" "F_38" "F_39" "F_40" "F_41" "F_42" "F_43" "F_44" "F_45" "F_46" "F_47" "F_48" "F_49"
"A_87_P012702" 2.98424163094896 3.75827809136424 2.62058641045188 -0.0134832293636222 1.12822571016192 1.57830901448922 3.76574642144537 2.86846100911467 2.88071591287138 2.77025421405928 1.71126703473961 0.554125096798563 1.68049050591528 2.79143262169157 2.99134553468946 2.4570558337597 3.41102968304093 0.484874176314648 2.56812448948208 2.4894623404054 1.26667298289714 3.20106523669633 1.90219671961747 2.66250544593001 3.20545469743037 1.14361233333258 1.91985215106323 1.49874038259984 1.85074348943497 2.62046228629789 2.04540006597043 1.5247549781646 2.44320950396986 2.54678175374009 2.32539432798989 2.28974768913821 3.1328331565537 2.08669809432499 3.09068936398378 1.2842084289382 1.97941912257755 2.42184337508193 3.05531601817885 1.059413485507 2.20777460279565 1.32277899142685
"lip_PCK1" 5.3695434828603 4.63721789556642 3.84190893808777 2.3838286880882 3.47757455137184 4.66023617253054 4.49690622805388 3.7830943613909 4.39999350610722 4.39938248806054 4.398577318794 3.84884702804821 4.99413203663461 4.89342618006407 4.67153489116908 3.84927851864022 5.66171853964353 3.10435034077773 4.77651644056696 2.04645621999279 2.46535476922369 4.4475049239211 3.24954668972006 3.98265901280353 5.46888552014224 3.15930116075983 2.66345702950427 0.643679159499096 2.20408721001664 4.3692167412817 3.41114320193011 1.8996850037739 3.08245296021084 3.77930090645235 4.40115913135237 4.98721625791269 3.45679724070375 4.69708805586257 5.9497476333009 1.8358081048859 3.42245768840218 4.24819825301048 4.26605656478325 -1.07460141200256 4.11293891518028 0.465038798916489
"A_87_P056346" 3.18665365203901 2.79469107603667 0.307428525192247 1.59388181840968 0.960625761665856 -0.209176801832283 3.38483399341254 3.17814550824728 1.9339511588169 3.39067644246054 1.03051874038655 1.63493714238666 -0.692473674920186 2.82040884588928 1.92154201994731 1.14357367449536 2.65720415740012 0.318055085740157 1.81204322925914 2.08746284125034 0.590779827316471 2.80797744419925 2.7611964037144 2.89064830735915 3.00704415879504 0.889784691615413 2.90078772658728 1.75850821287948 -0.505358106483538 1.07075277292189 2.15633205681833 1.51411558598629 1.55508121106159 2.29524298674413 2.41503749927884 3.13653883294776 3.47345093759185 1.67725934804194 3.69119411080239 3.1380322739999 2.1676526824328 1.95419631038687 2.52647198536523 2.30186004470654 2.5754123187927 2.23419924551589
"A_87_P065890" -1.25978142803871 -2.81245579375047 -3.21759143507263 -3.46279063072721 -3.47804729680464 -3.44183755862256 -2.94661890367198 -1.21759143507263 -1.68290043712947 -1.97345821254751 -2.88712734078709 -2.8471254507502 -2.45363377409918 -1.51729734245726 -1.07800251200127 -2.31216912842503 -2.00377175388921 -3.05117872392556 -2.870821340901 -3.56808868215676 -2.97400479146706 -1.70535148962204 -2.66408121783876 -1.49198951494269 -2.24575641440196 -3.25611303918045 -2.86192386459703 -3.19568809750739 -3.17373661539233 -2.75488750216347 -2.54493560684958 -3.33110752166176 -3.4594316186373 -3.13024129996983 -2.45695488834508 -2.5390262165543 -0.833231084886889 -2.50901364748786 -0.691109905236422 -3.08629984639422 -2.84881452915597 -2.8903755088255 -2.14556579581391 -3.16992500144231 -3.42750685124106 -3.03010203178942
"A_87_P013000" -3.23657403687738 -2.64385618977473 -3.59946207041627 -3.28876123095216 -2.97797369367 -3.46608510486924 -1.65207669657969 -2.04182017569463 -1.6884386206709 -1.03485875721165 -3.14428518028421 -2.51270641167965 -3.49670249599107 -2.17079122484924 -1.83084218551588 -2.37851162325373 -1.34279584259988 -3.41374880331027 -2.93920831588125 -2.48655879666016 -3.30023302378804 0.703454055945288 -2.78575977442701 -2.39122653800778 -0.767709117597315 -3.07324898203064 -1.30004497698891 -1.5224984137745 -3.75869911611349 -3.24031432933371 -3.11917170097768 -3.60029415447715 -3.18934245526955 -3.06465295834225 -3.18487534290828 -1.37596793460025 -1.30241727104992 -2.10791533916689 0.0222910106093739 -2.81669278663694 -2.52100986793194 -2.82166275874149 -1.00896086757162 -3.2500953501263 -1.75612959870243 -2.96219796728762
"T038247_G023271_ABCB1_420534" 0.165939153007269 -0.68692491166661 1.89627184880738 -0.543621705340255 -0.0167432638345755 1.93436019879293 -1.75089443279761 1.23090565311774 0.635707299466283 -0.958507871081536 2.14021450802568 0.797984711325013 2.42216074128352 -1.39839193718845 0.395928676331138 1.36311397950082 -0.401291491910023 2.79570456231868 -0.777085902635128 1.24822525259249 2.93745853393129 0.158743147338933 3.04935584083121 1.28433851149429 1.67752861945723 3.3417885172482 2.12224590630125 1.522636498946 3.12175902439384 1.27617365157626 2.4296074032549 2.59610305832636 0.772777661059358 1.46863350760658 2.83749247012017 -0.229481846122768 2.66697998978446 1.34769119095244 -0.769784219364334 3.03164562661646 1.49792532112702 1.3417236330712 0.406076631707222 3.64679922981796 2.35288102321627 2.27389872325672
"T009221_G005739_SCD_395706" 1.47327971167158 1.55869981590755 0.913607511823098 -1.73696559416621 -1.20218885061327 -0.771299326195328 0.976619686024026 1.34401685419635 1.19232224311297 1.06271540000598 -0.00398534795117911 -1.58932769328256 1.28862611973653 1.83892392998398 1.89348298230642 1.04972537377997 2.10354803849667 -0.654288571356978 -0.709829464228693 -2.11171038749702 -2.23703919730085 1.53168770767881 0.614778155156717 0.951165659439303 0.986904342388316 -1.4655664048094 -2.65929469808201 -2.23521646169403 -1.22620403528647 0.994263630450856 0.921331127981494 -1.04649258524245 -1.79200695772417 -1.49041686421416 -1.03005723385618 0.930459066746922 1.51871415396069 -0.794415866350106 1.04060731724498 -2.3934813559124 -2.76308465513009 1.29220052513852 1.43362096640309 -2.27085391029309 -2.40103463987987 -2.80522862094922
"A_87_P015218" -0.476013326298718 -0.86095431144166 -1.45898084686644 -3.51937415909358 -2.39787694812066 -2.15890359535106 -1.53158140439313 -0.222392421336448 -0.0869249436858937 -0.681903766703664 -1.2350506442074 -3.26216295002905 -0.518728802321069 -0.288544756341375 0.377449255723478 -1.35327433175471 -0.45191756497999 -2.64821405694729 -2.78021879212009 -3.43976458518122 -3.1963972128035 -1.02195925257614 -1.64301960231093 -1.06472571333059 -1.29822383429609 -2.83620978472979 -3.88500747771007 -3.27585844619138 -3.04249208211408 -2.0703893278914 -1.43609911480667 -3.63776885989581 -3.54689445988764 -3.23457795978457 -2.9560566524124 -1.39258264845115 -0.79485927401437 -2.62449086490779 0.178221142997405 -3.14684138832927 -3.70863687110771 -0.704895693188347 -2.19583900229513 -3.22963124756658 -3.16002654037607 -3.08321336824898
"T002682_G001749_ACSBG2_420090" 8.60944975252698 7.78413442436351 7.69104555348718 6.84738516924159 6.50645254145505 7.44042337047724 8.22480384588211 9.02603330534597 8.58345531973396 8.5998240740035 8.3934304033246 7.36848667954776 7.35563784781983 7.87927801578411 8.62507084399313 8.01068315017792 8.49527058066592 7.64786347740693 7.52213205060787 7.13664940316322 6.90752800940285 8.42497180131347 8.49248522942986 8.95071580542571 8.85432392398024 6.85599181117473 7.39606254465992 6.78564776074404 6.99193310783935 8.08048621954793 8.08322425244727 7.6466747727402 7.24205322595619 6.5424512743685 7.93853882983074 8.3126427529849 8.525529693442 8.39493577110833 8.69642612081282 6.73050848509692 7.80921474681842 8.12768893483148 8.3734510492125 6.33169704047918 7.95788623577317 6.94223768284236
"A_87_P160283" -3.17645304443981 3.32734921931551 -3.200912693926 -1.00335901208991 -0.709484857744099 -3.21944513728611 1.62699591934587 -3.49701480144545 -3.44401989300445 3.61556866089787 -3.45744306554384 -1.33726440526977 -3.65845356598768 -3.38024459047819 -3.61989629083054 -3.46597446450407 1.21969931799535 -3.47694262979747 -1.70684560578987 -1.38702312310925 -3.53343220008107 0.563003248145016 -3.97018434556444 -3.19858146006538 1.9195813175447 -3.48828648130948 -3.25424128737579 -2.1197392442741 -3.54368622514264 -3.11929892837234 -2.50250034052918 -3.58191562516229 -0.254572827085598 -3.38658105322962 -3.45695488834508 1.49825086752782 -2.14933794104553 -3.06649541178691 -3.47448596435959 -3.52123690311077 -2.73560391870798 -3.29373120305671 0.340566678247825 -3.42518205668439 -3.32441335827696 -2.94570984449905
