"GENOTYPE" "SEX" "SplitFat" "SplitMuscle" "LV23Fat" "LR23Fat" "LR23Muscle" "LR34Fat" "LR34Muscle" "LMP"
"229" "P25" "F" 9.3 77.54 14.72 9.295 71.795 11.57 69.225 83.05047144
"230" "P25" "M" 14.69 58.98 19.065 15.365 60.85 16.86 56.92 77.48016257
"231" "P25" "M" 14.645 70.665 17.15 12.165 73.81 12.54 66.73 81.51805453
"232" "P25" "M" 14.815 68.045 16.19 13.79 63.005 15.31 62.595 80.58229814
"233" "P25" "F" 15.375 79.62 16.61 12.245 75.155 15.84 67.525 82.32217225
"234" "P25" "F" 7.055 74.775 11.36 9.89 66.79 9.635 64.475 87.20699245
"235" "P25" "F" 13.075 84.89 14.96 11.42 67.53 14.52 62.8 80.74311339
"236" "P25" "M" 14.54 75.83 19.21 16.52 65.635 16.105 68.15 77.10818308
"237" "P25" "M" 12.05 72.545 15.37 13.31 65.08 15.335 65.28 82.48781368
"238" "P25" "F" 9.63 74.4 11.755 8.16 69.365 8.1 70.79 84.85973923
"239" "P25" "M" 13.315 59.85 15.815 13.845 57.555 14.875 56.82 79.25824801
"240" "P25" "F" 15.015 74.31 14.695 11.13 63.315 12.52 60.5 82.58859784
"241" "P25" "M" 18.165 74.88 22.185 16.865 65.35 16.36 64.88 77.58483034
"242" "P25" "F" 17.665 77.81 15.62 10.685 69.27 11.58 66.19 80.51971009
"243" "P25" "M" 14.61 75.18 19.33 16.47 63.12 18.205 58.4 78.45989305
"244" "P25" "F" 17.385 84.62 17.825 11.17 66.45 11.52 67.445 82.89371737
"245" "P25" "M" 14.19 81.405 14.47 11.87 63.805 12.255 66.815 81.81956604
"246" "P0" "F" 11.985 72.38 14.815 10.125 62.505 10.7 58.81 80.67505492
"247" "P0" "M" 16.75 72.94 20.92 13.04 60.145 13.27 61.695 78.90982776
"248" "P0" "M" 22.415 72.545 22.56 20.05 57.97 20.17 60.13 73.33333333
"249" "P0" "F" 18.92 68.275 16.55 12.57 66.03 14.17 64.065 80.79340141
"250" "P0" "F" 11.31 69.84 14.9 9.43 68.86 11.945 63.985 83.35456476
"251" "P25" "M" 14.65 66.64 14.47 10.87 64.015 14.065 59.135 81.82101167
"252" "P25" "F" 11.015 76.905 11.19 7.63 66.885 8.78 61.67 86.44292521
"253" "P50" "M" 15.72 72.615 20.23 16.44 61.95 17.44 62.765 77.63525477
"254" "P50" "M" 15.425 71.71 17.04 14.81 57.32 17.525 56.71 80.03163842
"255" "P50" "F" 8.215 68.615 11.125 7.91 57.295 9.705 53.92 85.42529856
"256" "P50" "F" 13.03 71.045 13.355 8.32 64.48 9.05 63.525 84.28571429
"257" "P50" "F" 10.79 71.07 11.365 9.1 67.3 11.08 63.945 86.28667933
"258" "P50" "F" 11.71 75.53 12.19 8.89 66.135 10.62 66.165 85.93297476
"259" "P50" "M" 19.63 75.66 18.99 14.15 65.52 15.6 62.955 79.62236209
"260" "P50" "F" 9.225 70.645 13.93 8.44 57.985 10.245 57.785 84.55945252
"261" "P50" "M" 12.62 85.37 18.02 11.615 69.33 12.45 66.095 81.77062374
"262" "P50" "M" 16.47 74.995 19.72 15.33 65.535 14.285 66.09 78.33803953
"263" "P50" "F" 7.725 67.76 11.815 8.17 60.135 8.185 58.405 84.10168031
"264" "P50" "M" 15.815 68.13 18.74 13.22 59.715 14.875 59.3 78.43343052
"265" "P50" "M" 24.465 72.815 19.625 18.945 67.77 18.13 65.945 77.40868617
"266" "P50" "F" 11.79 65.265 13.48 10.055 70.4 10.545 67.62 83.70634921
"267" "P50" "M" 17.16 71.89 14.995 12.43 60.44 12.7 60.57 82.75449102
"268" "P25" "M" 14.91 71.105 12.1 10.865 66.615 13.43 66.77 82.59785784
"269" "P25" "F" 16.275 76.095 16.965 11.465 63.91 12.89 63.635 82.27511376
"270" "P50" "M" 19.505 72.615 24.2 16.73 61.285 17.855 64.025 78.47331026
"271" "P50" "M" 18.07 71.85 20.66 18.815 65.07 20.205 67 78.57395404
"272" "P50" "F" 15.095 81.65 14.62 10.315 64.595 10.855 62.69 82.8470255
"273" "P50" "M" 19.92 72.03 22.45 20.72 58.155 18.835 56.735 77.26379441
"274" "P50" "F" 11.43 72.69 13.19 9.465 58.11 10.88 54.295 85.38256228
"275" "P50" "F" 18.25 68.39 23.23 17.125 63.52 17.04 62.945 74.46202532
"276" "P50" "M" 14.21 74.725 19.225 14.695 59.485 14.835 60.1 79.05840985
"277" "P50" "F" 8.71 78.8 11.495 7.715 70.9 8.88 66.46 86.63360671
"278" "P50" "M" 26.35 65.025 19.34 16.26 63.635 20.705 64.485 75.7771261
"279" "P25" "M" 13.445 65.19 18.965 12.4 60.79 13.27 61.975 82.00628272
"280" "P25" "F" 12.88 65.905 16.665 14.04 57.025 14.375 58.35 78.1795302
"281" "P25" "F" 12.82 71.215 11.085 9.785 61.615 9.545 61.165 84.95212038
"282" "P25" "F" 15.225 73.635 20.52 12.955 60.775 14.27 59.57 81.00779616
"283" "P25" "M" 14.88 70.83 17.025 13.36 69.51 12.6 65.775 82.1468491
"284" "P25" "F" 9.455 72.125 14.77 11.195 56.825 13.95 53.16 84.21181263
"285" "P25" "M" 14.995 56.55 17.98 14.735 53.995 13.185 59.23 78.45043515
"286" "P25" "M" 11.52 70.315 15.18 11.7 61.1 12.095 59.615 81.54340836
"287" "P25" "F" 15.31 67.045 16.575 9.765 59.995 11.55 56.43 82.05461638
"288" "P25" "F" 7.605 74.08 12.34 8.97 65.39 10.105 62.68 85.79324463
"289" "P25" "M" 14.275 71.095 14.74 12.705 54.81 12.54 59.97 82.05263158
"290" "P25" "F" 13.96 76.59 17.92 11.73 68.725 12.835 65.01 81.07726597
"291" "P25" "M" 14.695 69.355 17.525 12.73 61.375 12.9 59.735 81.04402026
"292" "P25" "F" 15.415 76.34 16.18 12.565 62.675 13.58 63.32 81.30274159
"293" "P25" "M" 17.72 80.52 19.455 14.585 62.24 15.575 62.7 79.63752665
"294" "P25" "F" 11.87 66.28 14.315 9.375 59.455 9.34 63.27 84.96473907
"295" "P50" "M" 11.075 74.16 17.845 11.735 56.335 13.225 58.795 81.13290721
"296" "P50" "M" 15.03 77.09 15.21 12.55 64.18 14.24 60.65 83.3873553
"297" "P50" "M" 11.09 77.945 14.18 10.18 57.885 12.49 56.355 83.47171269
"298" "P25" "M" 19.7 75.92 20.42 16.315 61.88 17.805 63.16 77.35862311
"299" "P25" "M" 10.96 71.2 13.965 9.195 59.69 10.25 61.81 83.39874739
"300" "P25" "F" 13.455 73.49 15.085 9.15 61.01 11.675 59.235 81.47527911
"301" "P25" "M" 14.435 77.28 16.485 11.965 70.9 12.885 67.405 82.18643765
"302" "P25" "F" 11.485 67.91 13.1 7.99 56.76 8.95 53.02 85.62586605
"303" "P25" "M" 16.585 69.33 19.41 12.78 62.34 13.86 60.31 80.1180061
"304" "P25" "F" 18.27 73.175 18.56 14.14 62.285 15.755 57.975 78.32504146
"305" "P25" "F" 14.85 70.57 15.06 13.225 59.34 12.875 57.865 80.72136346
"306" "P25" "M" 14.185 80.36 14.53 11.26 67.605 12.385 60.155 84.87629839
"307" "P25" "F" 14.635 68.54 20.535 15.995 67.1 17.26 66.195 78.74158168
"308" "P50" "F" 8.455 77.575 9.805 8.07 67.815 8.11 64.27 87.74375324
"309" "P50" "M" 15.77 72.495 14.79 11.705 60.48 12.835 57.81 84.57805747
"310" "P50" "F" 13.38 78.655 13.86 9.74 66.25 11.32 64.14 83.53179236
"311" "P50" "M" 14.715 68.595 16.925 12.385 58.825 13.285 61.87 79.71873812
"312" "P50" "F" 13.925 73.885 15.31 11.035 65.115 12.11 65.51 83.59430325
