"Weight" "Diam" "L" "a" "b" "Variety" "Maturity"
"go2p14" 0.0587 0.043475 59.38 19.36 46.67 "B" "2"
"go2p15" 0.0595 0.043663 57.88 18.42 49.28 "B" "2"
"go2p16" 0.0563 0.042787 56.78 16.82 47.62 "B" "2"
"go2p17" 0.0823 0.048575 62.84 19.81 50.21 "B" "2"
"go2p18" 0.0667 0.044937 59.74 18.23 50.72 "B" "2"
"go2p19" 0.0544 0.042375 59.48 15.14 51.98 "B" "2"
"go2p20" 0.0657 0.044275 62.64 12.88 50.17 "B" "2"
"go2p21" 0.067 0.0457 61.9 17.04 50.68 "B" "2"
"go2p22" 0.068 0.044825 61.13 19.34 51.68 "B" "2"
"go2p23" 0.0621 0.043338 58.35 20.94 50.99 "B" "2"
"go2p24" 0.071 0.045762 59.55 19.65 47.67 "B" "2"
"go2p25" 0.0577 0.042638 58.28 18.87 48.27 "B" "2"
"go2p26" 0.0552 0.04285 60.44 17.76 49.69 "B" "2"
"go2p27" 0.0738 0.047387 59.35 11.93 47.89 "B" "2"
"go2p28" 0.0828 0.0477 56.25 16.97 41.87 "B" "2"
"go2p29" 0.0805 0.048787 62.45 21.62 53.19 "B" "2"
"go2p30" 0.0668 0.0444 60.78 22.67 52.56 "B" "2"
"go2p31" 0.0704 0.045275 59.52 20.27 51.75 "B" "2"
"go2p32" 0.0631 0.044125 59.98 17.34 50.95 "B" "2"
"go2p33" 0.0623 0.042487 62.83 18.29 48.16 "B" "2"
"go2p34" 0.0537 0.041075 56.64 8.4 45.55 "B" "2"
"go2p35" 0.0752 0.047888 59.91 6.9 45 "B" "2"
"go2p36" 0.0681 0.045363 58.6 9.76 47.25 "B" "2"
"go2p37" 0.0554 0.042188 56.31 8.86 44.73 "B" "2"
"go2p38" 0.0588 0.043037 55.51 16.54 48.88 "B" "2"
"go2p39" 0.0471 0.039975 58.14 18.23 50.77 "B" "2"
"go2p40" 0.0623 0.0452 60.49 15.27 45.68 "B" "2"
"go3p01" 0.0594 0.041737 59.52 25.97 54.71 "B" "3"
"go3p02" 0.0555 0.0418 60.42 25.59 49.66 "B" "3"
"go3p03" 0.0559 0.043112 62.38 24.76 54.72 "B" "3"
"go3p04" 0.0578 0.043138 57.84 27.2 50.86 "B" "3"
"go3p05" 0.0565 0.043338 61.32 24.18 54.64 "B" "3"
"go3p06" 0.0461 0.039538 59 26.71 52.48 "B" "3"
"go3p07" 0.0429 0.037488 58.45 27.65 52.1 "B" "3"
"go3p08" 0.0506 0.040725 61.61 26.77 53.11 "B" "3"
"go3p09" 0.0566 0.0433 60.64 23.5 52.25 "B" "3"
"go3p10" 0.0611 0.044375 60.49 28.09 53.48 "B" "3"
"go3p11" 0.0477 0.039425 59.62 20.19 53.35 "B" "3"
"go3p12" 0.0622 0.04425 56.65 25 50.14 "B" "3"
"go3p13" 0.0491 0.039738 56.53 25.39 51.12 "B" "3"
"go3p14" 0.0549 0.041563 60.38 25.26 51.14 "B" "3"
"go3p15" 0.0608 0.044762 59.19 26.73 53.02 "B" "3"
"go3p17" 0.0567 0.043588 60.58 23.41 53.62 "B" "3"
"go3p18" 0.0557 0.0421 60.26 26.89 52.41 "B" "3"
"go3p19" 0.0594 0.043225 60.16 25.88 53.2 "B" "3"
"go3p20" 0.0577 0.043275 61.84 23.43 54.56 "B" "3"
"go3p21" 0.0466 0.040138 60.21 21.26 54.07 "B" "3"
"go3p23" 0.0549 0.04355 56.44 20.02 49.24 "B" "3"
"go3p24" 0.0413 0.037713 58.66 23.04 54.13 "B" "3"
"go3p25" 0.0469 0.04025 59.34 23.11 49.62 "B" "3"
"mo1p01" 0.0776 0.051 72.86 -9.65 35.83 "C" "1"
"mo1p02" 0.0623 0.04535 72.71 -7.12 35.11 "C" "1"
"mo1p03" 0.0603 0.045225 66.87 -8.71 32.89 "C" "1"
"mo1p04" 0.0586 0.04485 74.09 -8.97 34.33 "C" "1"
"mo1p05" 0.0526 0.043388 71.2 -9.26 35.56 "C" "1"
"mo1p06" 0.067 0.047613 70.26 -10.65 36 "C" "1"
"mo1p07" 0.0558 0.045175 71.6 -8.47 34.71 "C" "1"
"mo1p08" 0.0653 0.048162 70.88 -8.72 34.02 "C" "1"
"mo1p09" 0.0517 0.043463 70.14 -9.25 31.31 "C" "1"
"mo1p10" 0.0579 0.045262 70.62 -8.85 36.86 "C" "1"
"mo1p11" 0.0651 0.04615 71.96 -8.45 38.27 "C" "1"
"mo1p12" 0.0839 0.051562 73.45 -7.43 37.4 "C" "1"
"mo1p13" 0.0473 0.042287 71.15 -8.29 40.69 "C" "1"
"mo1p14" 0.0522 0.04285 64.64 -5.46 37.3 "C" "1"
"mo1p16" 0.0554 0.044988 72.03 -9.77 33.08 "C" "1"
"mo1p17" 0.082 0.050888 73.64 -5.74 35.79 "C" "1"
"mo1p18" 0.066 0.046962 73.89 -6.1 36.68 "C" "1"
"mo1p19" 0.0525 0.042975 72.17 -9.49 32.2 "C" "1"
"mo1p20" 0.0721 0.0483 68.42 -7.27 40.12 "C" "1"
"mo1p21" 0.0671 0.048837 69.89 -7.26 33.36 "C" "1"
"mo1p22" 0.0633 0.046712 71.38 -8.07 31.96 "C" "1"
"mo1p23" 0.0616 0.045838 68.55 -8.55 39.94 "C" "1"
"mo1p24" 0.0653 0.046575 72.16 -7.87 36.22 "C" "1"
"mo1p25" 0.0667 0.04725 74.73 -5.6 48.12 "C" "1"
"mo1p26" 0.0745 0.049162 75.16 -6.52 36.34 "C" "1"
"mo1p27" 0.0774 0.050963 75.42 -5.92 34.95 "C" "1"
"mo1p28" 0.0612 0.045675 68.05 -11.01 37.99 "C" "1"
"mo1p29" 0.0588 0.045137 71.24 -8.22 35.57 "C" "1"
"mo1p30" 0.0614 0.046538 70.58 -9.62 34.66 "C" "1"
"mo1p31" 0.0634 0.046163 69.69 -11.2 35.23 "C" "1"
"mo1p32" 0.0595 0.046025 71.51 -6.99 37.94 "C" "1"
"mo1p33" 0.0753 0.050388 69.19 -8.38 45.68 "C" "1"
"mo1p34" 0.0709 0.048475 71.89 -6.9 40.04 "C" "1"
"mo1p35" 0.0636 0.045725 71.11 -7.54 34.38 "C" "1"
"mo1p36" 0.0699 0.047325 73.43 -6.29 36.64 "C" "1"
"mo1p37" 0.0664 0.04775 68.58 -9.2 35.98 "C" "1"
