"Poids" "Diam" "L" "a" "b" "Glucose" "Fructose" "Saccharose" "Citrate" "Malate" "Variete" "Maturite"
"373p19" 66.2 43.663 62.16 16.23 38.11 2.5 1.32 3.31 27.3 6.26 "37" "Forte"
"373p20" 65.3 44.762 69.69 8.4 47.49 2.8 1.43 3.61 28.52 3.28 "37" "Forte"
"373p21" 58.7 41.625 44.92 35.5 25.79 2.12 1.1 3.57 25.35 5.66 "37" "Forte"
"373p22" 65.7 43.763 69.01 10.51 47.16 3 1.4 2.63 35.16 5.82 "37" "Forte"
"373p23" 61 41.5 59.51 14.45 38.13 2.61 1.25 3.21 23.51 5.39 "37" "Forte"
"373p24" 69 44.8 59.15 22.45 39 2.8 1.55 2.82 32.37 6.26 "37" "Forte"
"373p25" 57.3 40.087 54.46 21.71 37.5 2.34 1.17 3.14 26.09 5.5 "37" "Forte"
"373p26" 73.1 46.438 57.1 22.17 34.76 2.88 1.55 2.95 20.72 4.63 "37" "Forte"
"373p27" 51.8 39.825 61.6 17.61 39.61 2.97 1.25 2.67 22.62 4.77 "37" "Forte"
"373p28" 55.5 40.425 59.72 25.25 41.92 3.03 1.35 3.79 26.63 5.54 "37" "Forte"
"373p29" 58.5 42.1 47.93 29.52 28.58 2.48 1.28 3.41 25.8 5.38 "37" "Forte"
"373p30" 69.8 43.3 63.99 13.04 46.07 3.05 1.35 3.81 20.33 5.97 "37" "Forte"
"373p31" 72.2 45.988 59.23 18.26 43.26 2.95 1.35 3.92 24.61 5.22 "37" "Forte"
"373p32" 58.8 42.338 39.93 16.62 20.64 2.86 1.46 3.69 27.45 5.1 "37" "Forte"
"373p33" 57.3 42.513 38.88 31.55 17.3 2.77 1.42 2.15 24.94 4.91 "37" "Forte"
"373p34" 63.1 42.688 61.35 18.71 41.52 2.5 1.15 4.21 27.76 5.38 "37" "Forte"
"373p35" 62.7 43.35 61.02 7.47 40 2.62 1.37 3.57 27.26 5.21 "37" "Forte"
"373p36" 66.3 43.35 56.46 25.81 35.83 3.17 1.35 4.5 20.3 5.37 "37" "Forte"
"373p37" 64.4 43.1 66.53 8.8 46.04 2.55 1.4 4.33 26.56 5.67 "37" "Forte"
"373p38" 58.5 42.225 54.58 34.36 37.36 2.98 1.43 4.44 19.53 5.37 "37" "Forte"
"373p39" 72.1 43.275 67.29 7.84 45.27 2.25 1.2 4.34 27.78 5.38 "37" "Forte"
"373p40" 67.1 42.912 55.74 24.37 36.99 3.43 1.55 3.46 27.8 5.54 "37" "Forte"
"bl1p01" 51.4 43.3 66.34 -3.6 35.72 2.6 0.8 2.14 9.87 23.24 "bl" "Faible"
"bl1p02" 43 39 69.69 -6.23 37.2 2.03 0.78 2.19 10.56 21.65 "bl" "Faible"
"bl1p03" 50.7 41.412 69.44 -6.15 41.45 2.09 0.8 2.6 9.37 19.84 "bl" "Faible"
"bl1p04" 60.3 44.6 69.11 -6.09 42.95 1.82 0.75 2.28 8.72 18.95 "bl" "Faible"
"bl1p05" 50.8 41.763 69.31 -6.21 41.91 2.35 0.73 2.09 9.19 17.59 "bl" "Faible"
"bl1p06" 66.3 47.387 68.81 -5.78 35.53 2.32 0.7 2.7 10.51 16.85 "bl" "Faible"
